"에너지원별(1)",에너지원별(2),에너지원별(3),에너지원별(4),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"총발전량 (MWh)",소계,소계,소계,184660825,205493554,224444599,215300419,239324733,266399508,285223757,306474064,322451697,342147967,364639331,381180709,426647338,422355126,433603766,474660832,501532576,532214602,543160996,546387050,561224444,562219314,578013727,594608598,589199929,579999196,611015325,626448138
"총발전량 (MWh)",양수발전,소계,소계,2717995,2776967,2589533,1819618,1906973,1600269,1820814,2078269,2001406,1550355,1515588,1751083,1410813,2492539,2827991,2789934,3232985,3683262,4104661,5068129,3650320,3787310,4186353,3911035,3458385,3271019,3682932,3715049
"신재생에너지 공급비중 (%)",소계,소계,소계,0.05,0.04,0.04,0.05,0.05,0.04,0.04,0.07,1.56,1.33,1.08,1.02,1.03,1.00,1.07,1.24,3.46,3.67,3.96,4.95,6.65,7.30,8.18,9.03,8.88,7.44,8.29,9.22
"신재생에너지 공급비중 (%)",재생에너지,소계,소계,0.05,0.04,0.04,0.05,0.05,0.04,0.04,0.07,1.56,1.33,1.08,1.02,1.03,1.00,1.04,1.20,3.40,3.59,3.85,4.77,6.46,7.03,7.71,8.44,8.32,6.41,7.15,8.05
"신재생에너지 공급비중 (%)",신에너지,소계,소계,-,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.07,0.11,0.17,0.20,0.27,0.48,0.58,0.57,1.02,1.14,1.18
"신재생에너지 총발전량①+② (MWh)",소계,소계,소계,84398,84299,93711,114181,118902,103794,102508,203287,5035156,4533603,3950000,3899368,4394830,4227477,4617907,5890180,17351213,19521955,21500322,27020292,37329731,41049367,47306018,53687940,52340558,43123776,50657393,57779999
"신재생에너지 총발전량①+② (MWh)",사업용,소계,소계,81738,81395,89803,109713,113390,90910,95392,196009,5025178,4514382,3928781,3862083,4337232,4147211,4508680,5731502,12712005,12768554,15348683,20910666,23829001,26806171,31649620,37255151,38028933,39791354,46856560,53154366
"신재생에너지 총발전량①+② (MWh)",자가용,소계,소계,2660,2904,3908,4468,5512,12884,7116,7278,9978,19221,21219,37285,57598,80266,109227,158678,4639208,6753401,6151639,6109626,13500729,14243197,15656398,16432789,14311625,3332422,3800833,4625634
"신재생에너지 총발전량①+② (MWh)",① 재생에너지 합,소계,소계,84398,84299,93711,114181,118902,103794,102508,203287,5035156,4533603,3947897,3892687,4386308,4207167,4528637,5693220,17056588,19132283,20921736,26077228,36234353,39545496,44551367,50210819,49002632,37202048,43668518,50405547
"신재생에너지 총발전량①+② (MWh)",① 재생에너지 합,사업용,소계,81738,81395,89803,109713,113390,90910,95392,196009,5025178,4514382,3928781,3861772,4335272,4133779,4426921,5543430,12429542,12394207,14787793,19987849,22751494,25320946,28916119,33811345,34740260,33928372,39938435,45859855
"신재생에너지 총발전량①+② (MWh)",① 재생에너지 합,자가용,소계,2660,2904,3908,4468,5512,12884,7116,7278,9978,19221,19116,30915,51036,73388,101716,149790,4627046,6738076,6133943,6089379,13482859,14224550,15635247,16399475,14262371,3273676,3730083,4545692
"신재생에너지 총발전량①+② (MWh)",② 신에너지 합,소계,소계,-,-,-,-,-,-,-,-,-,-,2103,6681,8522,20310,89270,196960,294625,389672,578586,943064,1095378,1503871,2754652,3477121,3337926,5921728,6988875,7374452
"신재생에너지 총발전량①+② (MWh)",② 신에너지 합,사업용,소계,-,-,-,-,-,-,-,-,-,-,-,311,1960,13432,81759,188072,282463,374347,560890,922817,1077507,1485225,2733501,3443807,3288673,5862982,6918125,7294511
"신재생에너지 총발전량①+② (MWh)",② 신에너지 합,자가용,소계,-,-,-,-,-,-,-,-,-,-,2103,6370,6562,6878,7511,8888,12162,15325,17696,20247,17871,18647,21151,33314,49254,58746,70750,79942
"① 재생에너지",태양광 (MWh),소계,소계,2228,2556,3100,3796,4572,5284,6184,7044,7752,9872,14399,31022,71279,284316,566212,773425,922755,1127097,1667641,2694350,4229946,5516146,7739189,10167519,14192911,19337964,24717623,30726260
"① 재생에너지",태양광 (MWh),사업용,소계,-,-,-,-,-,-,-,-,-,13,595,5666,25722,216314,469994,637359,735327,852602,1302158,2132582,3464576,4491036,6220719,8219173,11759577,16452484,21444281,26682924
"① 재생에너지",태양광 (MWh),자가용,소계,2228,2556,3100,3796,4572,5284,6184,7044,7752,9859,13804,25356,45557,68002,96218,136066,187428,274495,365483,561768,765371,1025111,1518470,1948345,2433335,2885480,3273342,4043336
"① 재생에너지",풍력 (MWh),소계,소계,432,348,808,1475,5839,16685,12590,14881,24865,47442,129888,238911,375641,436034,685353,816954,862889,912773,1148211,1145601,1342491,1683214,2169112,2464974,2679248,3149948,3180017,3369458
"① 재생에너지",풍력 (MWh),사업용,소계,-,-,-,803,4899,9085,11658,14757,22749,38103,125291,234047,370601,430950,680228,811772,857646,908447,1143549,1138496,1331877,1672764,2158913,2454329,2669463,3139475,3169833,3358850
"① 재생에너지",풍력 (MWh),자가용,소계,432,348,808,672,940,7600,932,124,2116,9339,4597,4864,5040,5084,5125,5182,5243,4326,4662,7105,10614,10450,10199,10645,9785,10474,10184,10608
"① 재생에너지",수력 (MWh),소계,소계,81738,81395,89803,108910,108491,81825,83734,110579,4902346,4329362,3674015,3468233,3632089,3070458,2821530,3685090,4490107,3862087,4228112,2753924,2150013,2858714,2819882,3374375,2791076,3879383,3057210,3544866
"① 재생에너지",수력 (MWh),사업용,소계,81738,81395,89803,108910,108491,81825,83734,110469,4902236,4329339,3673300,3467538,3631650,3070156,2821157,3684075,4488929,3860364,4222822,2748254,2142922,2855818,2816419,3371552,2788609,3877175,3054616,3541073
"① 재생에너지",수력 (MWh),자가용,소계,-,-,-,-,-,-,-,110,110,23,715,695,439,302,373,1015,1178,1723,5290,5670,7091,2895,3463,2823,2467,2208,2595,3793
"① 재생에너지",해양 (MWh),소계,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1039,52307,465924,483777,492172,496354,495556,489466,485353,474321,457263,454980,423843
"① 재생에너지",해양 (MWh),사업용,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1039,52307,465924,483777,492172,496354,495556,489466,485353,474321,457263,454980,423843
"① 재생에너지",바이오 (MWh),소계,소계,-,-,-,-,-,-,-,70783,100193,146927,129595,154521,307299,416359,455542,416713,524623,1027251,1839568,4656237,5546583,6237564,7466664,9363229,10415632,9938354,11788068,11927592
"① 재생에너지",바이오 (MWh),사업용,소계,-,-,-,-,-,-,-,70783,100193,146927,129595,154521,307299,416359,455542,409185,469805,654430,1366716,4225476,5165641,5940066,7178784,9076016,10111154,9664364,11454757,11503337
"① 재생에너지",바이오 (MWh),자가용,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7528,54818,372821,472852,430761,380942,297498,287879,287213,304478,273990,333310,424255
"① 재생에너지",바이오 (MWh),바이오가스,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,3363,6814,17401,44860,38973,99810,94930,121142,138600,170599,175007,195247,179046,191081,152742
"① 재생에너지",바이오 (MWh),바이오가스,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,3363,6814,9873,20263,15461,37480,47507,92207,100320,142362,144461,168409,149710,174406,135429
"① 재생에너지",바이오 (MWh),바이오가스,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7528,24597,23512,62330,47423,28935,38279,28236,30546,26838,29336,16675,17312
"① 재생에너지",바이오 (MWh),매립지가스,소계,-,-,-,-,-,-,-,70783,100193,146927,129595,154521,307299,412996,448728,399312,440814,419409,293298,253024,252312,238584,255827,242172,239527,180043,187485,206760
"① 재생에너지",바이오 (MWh),매립지가스,사업용,-,-,-,-,-,-,-,70783,100193,146927,129595,154521,307299,412996,448728,399312,440814,419409,293298,246543,246589,238584,255827,242172,239527,180043,187485,206760
"① 재생에너지",바이오 (MWh),매립지가스,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6481,5723,-,-,-,-,-,-,-
"① 재생에너지",바이오 (MWh),우드칩,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8728,88060,119712,106168,132176,54486,52518,53786,41753,99242,222248,319428
"① 재생에너지",바이오 (MWh),우드칩,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8728,23057,62111,105908,131297,54486,52518,53786,41753,95538,167583,319428
"① 재생에너지",바이오 (MWh),우드칩,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65003,57601,260,879,-,-,-,-,3704,54665,-
"① 재생에너지",바이오 (MWh),목재펠릿,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83015,696539,2764069,2512521,2679313,3722931,4837318,4959229,4926845,6794232,7393419
"① 재생에너지",바이오 (MWh),목재펠릿,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83015,696539,2764069,2508862,2679313,3722931,4837318,4959229,4926845,6794232,7393419
"① 재생에너지",바이오 (MWh),목재펠릿,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3659,-,-,-,-,-,-,-
"① 재생에너지",바이오 (MWh),폐목재,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30221,40534,178215,90472,96324,-,-,-,-,-,-,-
"① 재생에너지",바이오 (MWh),폐목재,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32168,99211,-,17993,-,-,-,-,-,-,-
"① 재생에너지",바이오 (MWh),폐목재,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30221,8366,79004,90472,78331,-,-,-,-,-,-,-
"① 재생에너지",바이오 (MWh),흑액,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,275940,273917,274248,263411,259219,259643,256667,277640,240950,261970,234792
"① 재생에너지",바이오 (MWh),흑액,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,275940,273917,274248,263411,259219,259643,256667,277640,240950,261970,234792
"① 재생에너지",바이오 (MWh),하수슬러지고형연료,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81320,178077,195307,282542,284973,331095,405314,338143,410193,406146,73784
"① 재생에너지",바이오 (MWh),하수슬러지고형연료,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81320,178077,195307,282542,284973,331095,405314,338143,410193,406146,73784
"① 재생에너지",바이오 (MWh),Bio-SRF,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,341254,652965,1127409,1431740,1782965,2068895,1983916,1892499,1892487
"① 재생에너지",바이오 (MWh),Bio-SRF,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,329377,652961,1127409,1431740,1782965,2068895,1983916,1892499,1720336
"① 재생에너지",바이오 (MWh),Bio-SRF,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11877,4,-,-,-,-,-,-,172150
"① 재생에너지",바이오 (MWh),바이오중유,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,536765,1233190,1454982,1242311,1609999,2295198,1918119,1832406,1654179
"① 재생에너지",바이오 (MWh),바이오중유,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,536765,1233190,1454982,1242311,1609999,2295198,1918119,1832406,1654179
"① 재생에너지",폐기물 (MWh),소계,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10203907,11737151,11554426,14334944,22468966,22754303,23867053,24355370,18449443,439137,470620,413529
"① 재생에너지",폐기물 (MWh),사업용,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5825528,5652440,6268771,9250869,10150125,9865706,10051818,10204921,6937137,337612,359968,349828
"① 재생에너지",폐기물 (MWh),자가용,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4378379,6084711,5285655,5084075,12318841,12888596,13815235,14150448,11512307,101525,110652,63701
"① 재생에너지",폐기물 (MWh),폐가스,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9862615,11162731,11092956,13737289,21419499,21672062,22892836,23310983,17574387,-,-,-
"① 재생에너지",폐기물 (MWh),폐가스,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5568052,5459106,6060450,8924777,9503822,9217232,9334436,9445991,6281275,-,-,-
"① 재생에너지",폐기물 (MWh),폐가스,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4294563,5703625,5032506,4812512,11915677,12454830,13558400,13864992,11293112,-,-,-
"① 재생에너지",폐기물 (MWh),산업폐기물,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45713,27598,23410,66381,86666,174950,159714,158923,157812,91821,108574,142400
"① 재생에너지",폐기물 (MWh),산업폐기물,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11708,4600,11613,51158,57544,174903,156506,153954,153549,90776,98312,139179
"① 재생에너지",폐기물 (MWh),산업폐기물,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34005,22998,11797,15223,29122,47,3208,4969,4263,1045,10263,3221
"① 재생에너지",폐기물 (MWh),생활폐기물,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56708,100697,181142,234469,694377,406578,371828,381641,307864,187677,222835,173702
"① 재생에너지",폐기물 (MWh),생활폐기물,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48298,57725,92857,102300,397335,128816,125992,115601,102506,91181,128370,116984
"① 재생에너지",폐기물 (MWh),생활폐기물,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8410,42972,88285,132169,297042,277762,245836,266040,205358,96496,94465,56718
"① 재생에너지",폐기물 (MWh),대형도시쓰레기,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,238871,439281,238807,185230,-,-,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),대형도시쓰레기,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,197470,124165,85740,61059,-,-,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),대형도시쓰레기,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41401,315116,153067,124171,-,-,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),RDF/RPF/TDF,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6844,18111,-,-,-,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),RDF/RPF/TDF,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6844,18111,-,-,-,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),SRF,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,111575,171900,312740,411991,455951,392976,159639,139211,97427
"① 재생에너지",폐기물 (MWh),SRF,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,111575,171900,312740,404199,441504,383403,155654,133286,93665
"① 재생에너지",폐기물 (MWh),SRF,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7792,14447,9573,3984,5924,3762
"① 재생에너지",폐기물 (MWh),시멘트킬른보조연료,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77000,155957,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),시멘트킬른보조연료,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77000,155957,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),정제연료유,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19524,32016,30684,47871,16404,-,-,-
"① 재생에너지",폐기물 (MWh),정제연료유,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19524,32016,30684,47871,16404,-,-,-
"② 신에너지",연료전지 (MWh),소계,소계,-,-,-,-,-,-,-,-,-,-,2103,6681,8522,20310,89270,196960,294625,389672,578586,943064,1089289,1143191,1468919,1775115,2306654,3544354,4798120,5409625
"② 신에너지",연료전지 (MWh),사업용,소계,-,-,-,-,-,-,-,-,-,-,-,311,1960,13432,81759,188072,282463,374347,560890,922817,1071418,1124544,1447768,1741801,2257401,3485608,4727370,5329684
"② 신에너지",연료전지 (MWh),자가용,소계,-,-,-,-,-,-,-,-,-,-,2103,6370,6562,6878,7511,8888,12162,15325,17696,20247,17871,18647,21151,33314,49254,58746,70750,79942
"② 신에너지",IGCC (MWh),소계,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6089,360681,1285733,1702006,1031272,2377374,2190755,1964827
"② 신에너지",IGCC (MWh),사업용,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6089,360681,1285733,1702006,1031272,2377374,2190755,1964827
