"국가",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"벨기에",2519,2571,2810,3043,3022,3116,3051,3183,3590,3877,4135,4100,4474,4721,4617,4318,4622,4590,4827,4977,4743,4415,4208,4156,4335,4474,4634,4728,4771,4799,4810,5006,5041,4902,5186,5268,5536,5523,5603,5613,5669,5634,5391,5590,5593,5556,5470,5337,5455,5197,5539,5092,4845,4997,4708,4688
"보스니아-헤르체고비나",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1561,1403,1040,940,381,398,447,666,814,798,1040,1001,1050,1051,1161,1231,1306,1323,1512,1603,1701,1909,1819,1784,2191,-
"불가리아",-,-,-,-,-,-,-,-,-,-,-,2229,2263,2378,2463,2665,2780,2954,3084,3200,3204,3186,3309,3370,3387,3420,3451,3411,3488,3427,3237,2537,2396,2590,2520,2747,2746,2504,2426,2231,2277,2421,2411,2490,2441,2598,2691,2666,2649,2352,2417,2617,2513,2329,2478,-
"크로아티아",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1981,1742,1635,1680,1629,1692,1771,1882,1945,1930,1877,2025,2082,2232,2231,2261,2248,2338,2280,2207,2185,2140,2021,1984,1898,-
"체코",-,-,-,-,-,-,-,-,-,-,-,4618,4614,4551,4195,4343,4438,4716,4430,4703,4557,4568,4634,4647,4741,4764,4840,4978,4876,4739,4797,4349,4222,4089,3963,4020,4153,4185,4057,3783,3988,4111,4163,4358,4460,4401,4492,4469,4331,4035,4238,4077,4054,3990,3915,3860
"덴마크",1923,2023,2296,2503,2600,2823,3067,3061,3204,3700,3971,3729,3859,3782,3490,3453,3746,3830,3895,4020,3735,3381,3422,3233,3353,3774,3824,3820,3642,3414,3377,3735,3562,3646,3761,3706,4170,3848,3772,3603,3490,3584,3535,3728,3597,3488,3728,3623,3502,3329,3511,3230,3092,3125,2873,2817
"에스토니아",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6233,5841,4283,3639,3752,3624,4043,4011,3695,3463,3375,3542,3416,3798,3893,3846,3775,4244,4105,3649,4223,4238,4174,4623,4593,4173
"유로지역",1404,1456,1569,1689,1766,1821,1869,1945,2096,2265,2749,2785,2923,3110,3068,2934,3144,3108,3227,3356,3293,3183,3073,3096,3201,3298,3330,3400,3428,3491,3490,3529,3441,3406,3389,3498,3605,3594,3649,3637,3672,3758,3743,3803,3837,3827,3819,3739,3712,3495,3609,3469,3428,3387,3249,3329
"핀란드",2197,2253,2362,2479,2678,2888,3065,3126,3343,3669,3872,3939,4188,4508,4384,4182,4460,4516,4665,4964,5147,4935,4805,4824,4911,5270,5483,5961,5590,5754,5692,5743,5381,5617,5973,5662,6070,6277,6319,6284,6262,6411,6729,7077,7135,6562,7112,6975,6669,6268,6829,6538,6276,6116,6213,5925
"프랑스",1698,1748,1870,2000,2106,2133,2145,2268,2377,2551,2965,3039,3180,3395,3264,3071,3263,3187,3382,3506,3483,3383,3282,3349,3452,3603,3640,3711,3675,3807,3859,4043,3954,4002,3836,3981,4192,4049,4151,4123,4135,4245,4225,4270,4301,4287,4188,4115,4110,3913,4017,3847,3837,3833,3659,3692
"독일",1953,1994,2125,2281,2341,2378,2388,2388,2562,2772,3861,3895,4017,4240,4158,3985,4315,4336,4484,4685,4562,4399,4258,4268,4447,4598,4589,4616,4629,4515,4421,4303,4191,4123,4089,4120,4247,4203,4177,4080,4094,4210,4108,4085,4114,4087,4205,3986,4037,3791,3997,3870,3877,3940,3779,3818
"지브롤터",-,-,-,-,-,-,-,-,-,-,-,1091,896,1030,1021,1117,969,929,889,1199,1130,930,1098,1156,1123,1266,1526,1754,2057,2002,2106,2804,3406,3419,3919,3826,3887,4023,4230,4401,4609,4722,4763,4798,5087,5178,5306,5229,5254,5580,5533,5297,5344,5672,6040,-
"그리스",289,322,350,368,434,479,547,608,652,726,873,984,1135,1323,1256,1298,1386,1470,1525,1598,1554,1505,1537,1599,1653,1767,1674,1792,1903,2093,2103,2095,2130,2091,2138,2147,2206,2282,2390,2390,2507,2578,2598,2666,2711,2753,2743,2735,2745,2650,2482,2408,2403,2128,2124,2182
"헝가리",-,-,-,-,-,1427,1448,1476,1507,1608,1730,1836,1881,2039,2102,2173,2311,2429,2674,2638,2646,2630,2631,2594,2697,2794,2788,2895,2864,2875,2774,2643,2423,2481,2407,2503,2573,2527,2502,2491,2448,2513,2520,2580,2579,2731,2713,2658,2637,2478,2569,2500,2366,2272,2314,2433
"아이슬란드",3083,2917,3028,3280,3307,3445,3640,3594,3924,3553,4232,4378,4404,5269,5132,5072,5086,5603,5711,6515,6561,7179,7076,7254,7531,7335,7606,7857,7882,7983,8908,8054,7755,8250,8293,8256,8848,8584,9037,10038,11092,10589,10805,10731,10524,10525,12734,14746,16354,16911,17023,18158,17630,18178,17916,17479
"아일랜드",1319,1396,1413,1454,1522,1512,1630,1767,1881,1975,2024,2245,2195,2238,2268,2084,2110,2204,2179,2534,2413,2393,2357,2336,2346,2438,2503,2609,2593,2655,2820,2828,2775,2814,2942,2952,3122,3255,3418,3544,3627,3714,3661,3515,3558,3504,3424,3416,3294,3150,3152,2865,2853,2815,2742,2820
"이탈리아",795,891,1007,1120,1222,1316,1431,1552,1698,1832,2026,1949,2051,2176,2212,2106,2264,2204,2248,2340,2318,2266,2207,2204,2254,2285,2312,2407,2463,2566,2584,2646,2627,2612,2578,2799,2796,2834,2913,2957,3012,3021,3037,3169,3170,3215,3176,3150,3088,2870,2931,2828,2709,2579,2414,2482
"라트비아",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2949,2792,2335,2059,1894,1850,1840,1821,1796,1664,1618,1759,1763,1890,1961,2023,2114,2180,2106,2056,2149,2067,2171,2156,2177,-
"리투아니아",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4344,4602,2978,2472,2220,2401,2610,2490,2633,2260,2038,2385,2574,2709,2779,2663,2666,2927,2976,2771,2276,2412,2469,2357,2387,-
"룩셈부르크",10523,10534,10415,10466,11150,10926,10481,10362,11115,11974,12106,11863,12010,12649,13024,10505,10669,10279,11096,10458,9775,8526,8058,7576,8113,8347,8164,7943,8158,8700,8874,9353,9262,9267,8823,7705,7711,7410,7067,7267,7677,7983,8205,8550,9387,9429,9171,8774,8612,7952,8329,8056,7722,7312,6861,6548
"몰타",-,-,-,-,-,-,-,-,-,-,-,696,873,844,775,688,778,823,950,908,1005,1130,1256,945,1245,1024,1678,1751,1871,1983,1962,1847,1807,2289,2056,1879,1837,2047,1793,1943,1732,2001,1852,2071,2067,2181,2056,2157,2044,1887,2012,1993,2090,1803,1782,-
"몰도바",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3335,2775,2301,2049,1715,1598,1376,1318,1217,1063,986,1046,1063,1157,1166,1211,1198,1168,1166,1109,1225,1207,1194,1074,1155,-
"몬테네그로",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1746,1914,1928,2068,1646,1898,1816,1712,1580,1538,-
"네덜란드",1826,1879,2081,2268,2349,2493,2606,2763,3043,3363,3766,3855,4381,4613,4501,4319,4743,4560,4663,4869,4549,4269,3785,3936,4148,4184,4317,4388,4321,4324,4395,4604,4503,4511,4512,4780,5015,4836,4842,4730,4739,4839,4873,5020,5086,4989,4925,4909,4848,4722,5025,4637,4646,4600,4326,4233
"북마케도니아",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1212,1192,1338,1389,1248,1260,1482,1345,1439,1344,1317,1266,1251,1379,1362,1397,1470,1526,1532,1437,1479,1611,1534,1405,1368,-
"노르웨이",1906,1938,2052,2183,2320,2540,2710,2816,3053,3194,3418,3414,3503,3608,3581,3652,3962,4060,4360,4467,4492,4415,4262,4428,4672,4815,5024,5048,4817,4984,4967,5105,5160,5460,5315,5391,5202,5475,5685,5913,5826,5954,5501,5933,5769,5803,5834,5862,6753,6484,6935,5650,5906,6416,5596,5818
"폴란드",1828,1894,1977,1984,2031,2088,2141,2199,2290,2438,2550,2627,2694,2784,2882,3029,3158,3252,3488,3565,3559,3245,3412,3351,3212,3352,3464,3535,3497,3259,2706,2641,2569,2625,2496,2578,2680,2643,2460,2397,2320,2336,2314,2375,2383,2414,2537,2527,2565,2467,2640,2653,2567,2566,2473,2490
"포르투갈",337,366,363,395,410,441,452,487,497,580,664,726,745,799,824,845,872,845,917,998,1022,1006,1119,1118,1116,1094,1208,1241,1300,1576,1681,1703,1814,1786,1828,2014,1987,2083,2240,2390,2390,2391,2477,2401,2463,2519,2390,2402,2337,2304,2223,2164,2039,2058,2035,2132
"루마니아",-,-,-,-,-,-,-,-,-,-,-,2059,2132,2296,2286,2433,2594,2735,2921,2882,2937,2897,2882,2894,2859,2857,2920,3028,3034,2987,2683,2232,2053,2004,1893,2054,2110,1990,1823,1614,1614,1664,1755,1832,1803,1810,1885,1904,1929,1713,1730,1777,1742,1596,1592,-
"러시아",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5942,5870,5357,5060,4427,4291,4253,4070,3981,4137,4224,4288,4288,4461,4494,4541,4688,4710,4823,4531,4819,5047,5161,5068,4929,-
"세르비아",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2599,2202,2020,1715,1565,1809,2176,2300,2303,1687,1826,1994,2120,2224,2424,2160,2301,2248,2290,2070,2141,2237,2020,2081,1859,-
"슬로바키아",-,-,-,-,-,-,-,-,-,-,-,3129,3225,3343,3464,3540,3631,3781,3929,3967,3984,3873,3755,3768,3932,4015,3980,4075,4106,4084,4025,3607,3411,3335,3261,3315,3364,3362,3257,3271,3293,3457,3484,3469,3416,3504,3469,3320,3406,3107,3307,3214,3081,3131,2943,3004
"슬로베니아",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2858,2779,2584,2715,2828,3049,3180,3310,3254,3242,3224,3381,3424,3464,3571,3646,3649,3633,3837,3496,3579,3568,3424,3331,3236,3175
"스페인",531,558,605,624,684,715,791,881,994,1050,1123,1245,1296,1474,1580,1608,1708,1661,1757,1769,1806,1820,1760,1781,1813,1843,1876,1917,2066,2269,2317,2398,2430,2319,2436,2537,2489,2635,2756,2878,3004,3061,3108,3157,3239,3251,3194,3180,3026,2758,2743,2690,2683,2512,2465,2571
"스웨덴",2699,2742,2887,3080,3274,3438,3637,3630,4001,4303,4681,4450,4527,4774,4510,4764,5151,5055,5017,5230,4872,5097,4878,4941,5216,5656,5879,5763,5854,5595,5515,5651,5369,5334,5660,5702,5825,5672,5770,5661,5360,5680,5802,5650,5847,5711,5529,5472,5380,4883,5428,5275,5269,5147,4966,5103
"스위스",1399,1455,1569,1870,1819,1944,1967,2041,2173,2334,2557,2638,2728,2998,2784,2711,2821,2878,2995,3042,3171,3093,2984,3173,3239,3412,3545,3431,3437,3339,3628,3637,3613,3491,3494,3422,3473,3526,3558,3547,3481,3673,3554,3542,3531,3488,3619,3411,3500,3482,3348,3205,3203,3304,3060,2960
"우크라이나",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4857,4853,4210,3729,3193,3178,2937,2836,2706,2719,2721,2756,2813,3025,3031,3033,2935,2996,2911,2487,2887,2769,2687,2553,2334,-
"영국",3033,3007,3087,3197,3213,3329,3307,3346,3406,3557,3685,3733,3748,3881,3735,3546,3617,3695,3675,3859,3524,3415,3397,3378,3371,3551,3598,3619,3643,3626,3597,3708,3685,3713,3733,3729,3880,3761,3787,3784,3786,3785,3686,3732,3694,3686,3599,3442,3362,3146,3231,2972,3043,2988,2777,2765
"아프리카",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"알제리",-,-,-,-,-,-,-,-,-,-,-,246,278,326,342,351,382,412,492,606,598,630,793,829,794,802,876,839,862,832,869,898,898,881,832,851,810,816,832,876,877,867,915,959,958,984,1038,1084,1078,1158,1118,1144,1234,1252,1333,-
"앙골라",-,-,-,-,-,-,-,-,-,-,-,623,651,628,620,586,560,534,568,557,548,532,506,502,489,500,489,483,486,481,497,493,480,481,472,457,455,449,434,441,439,443,448,468,464,433,459,472,492,515,521,521,551,531,541,-
"베냉",-,-,-,-,-,-,-,-,-,-,-,358,367,366,366,368,348,352,357,354,353,343,345,344,343,349,342,337,335,327,324,319,317,310,305,305,347,349,334,338,283,292,304,311,315,307,351,371,368,375,387,386,388,394,404,-
"보츠와나",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,768,773,753,741,756,799,768,875,906,908,899,1006,981,940,938,892,915,1010,1021,1040,1031,1028,1007,973,986,1000,1013,1051,960,1030,970,1079,1119,1202,-
"카메룬",-,-,-,-,-,-,-,-,-,-,-,407,405,402,402,410,405,423,425,429,429,435,444,450,451,455,447,442,442,445,436,427,419,421,424,419,418,419,419,412,418,412,411,416,417,408,379,347,341,358,350,328,329,336,341,-
"카보베르데",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,-,-,-,-,-,-,-,-,-,-,-,-,-,183,201,204,204,-,-,-,-,-,-,-,-
"코모로",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,-,-,-,-,-,-,-,-,-,-,-,-,-,59,62,69,66,-,-,-,-,-,-,-,-
"콩고",-,-,-,-,-,-,-,-,-,-,-,353,355,348,344,340,364,338,343,335,339,342,354,389,367,371,354,349,330,333,330,335,322,315,264,293,269,252,247,237,227,245,241,276,284,296,372,318,330,362,378,487,543,544,531,-
"콩고민주공화국",-,-,-,-,-,-,-,-,-,-,-,322,322,324,324,324,321,323,322,324,317,323,315,327,333,323,320,323,325,323,328,318,314,310,297,297,301,301,301,294,286,287,288,290,293,295,296,297,299,298,299,307,368,374,378,-
"코트디부아르",-,-,-,-,-,-,-,-,-,-,-,429,436,430,429,432,447,439,452,440,430,413,396,372,366,371,398,393,387,385,365,361,380,379,375,360,391,385,372,430,404,379,395,364,501,507,488,514,505,453,481,540,574,602,603,-
"지부티",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,225,-,-,-,-,-,-,-,-,-,-,-,-,-,163,167,169,165,-,-,-,-,-,-,-,-
"이집트",-,-,-,-,-,-,-,-,-,-,-,219,237,216,236,253,288,307,309,331,345,392,418,451,487,513,512,531,530,550,564,551,552,559,526,547,569,580,608,608,569,626,632,643,681,777,806,846,862,865,831,853,858,803,783,-
"적도기니",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,922,1444,1660,1854,-,-,-,-,-,-,-,-
"에리트레아",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,457,465,465,462,463,454,291,298,296,301,294,302,269,269,241,245,224,234,235,237,241,242,245,-
"에스와티니",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,362,-,-,-,-,-,-,-,-,-,-,-,-,-,381,372,377,390,-,-,-,-,-,-,-,-
"에티오피아",-,-,-,-,-,-,-,-,-,-,-,478,478,479,479,477,473,470,470,471,478,478,472,474,476,478,481,483,480,479,479,475,467,471,473,474,475,474,474,472,473,476,476,477,478,476,477,478,478,478,478,480,480,484,485,-
"가봉",-,-,-,-,-,-,-,-,-,-,-,1756,1682,2270,2425,1958,1835,1954,2165,1869,1834,2005,2010,2013,1822,1588,1544,1425,1465,1327,1202,1208,1257,1295,1118,1195,1214,1198,1243,1180,1155,1208,1420,1625,1835,2060,2249,2428,2585,2736,2970,2309,1974,2783,2580,-
"감비아",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,-,-,-,-,-,-,-,-,-,-,-,-,-,67,65,67,75,-,-,-,-,-,-,-,-
"가나",-,-,-,-,-,-,-,-,-,-,-,329,338,349,356,358,349,359,347,339,339,345,344,283,294,319,324,343,327,344,343,346,349,357,363,371,375,383,395,400,319,313,302,279,271,262,271,264,258,272,290,302,319,325,320,-
"기니비사우",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77,-,-,-,-,-,-,-,-,-,-,-,-,-,64,63,64,65,-,-,-,-,-,-,-,-
"케냐",-,-,-,-,-,-,-,-,-,-,-,445,449,445,447,443,450,457,455,455,456,452,444,435,444,447,470,472,468,468,462,456,454,452,444,452,456,450,454,451,454,446,439,435,444,446,452,448,450,463,470,467,461,476,516,-
"레소토",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,17,10,10,-,-,-,-,-,-,-,-
"리비아",-,-,-,-,-,-,-,-,-,-,-,802,1092,1247,1330,1599,1377,1626,1751,1864,2379,2446,2534,2467,2544,2750,2654,2814,2631,2782,2636,2609,2536,2574,2846,2955,3082,3081,3069,2982,3070,3091,3138,3148,3154,3044,3008,2740,2858,3034,3201,2212,2938,3244,2930,-
"모리셔스",-,-,-,-,-,-,-,-,-,-,-,434,435,439,449,449,460,475,476,468,446,435,415,426,432,433,491,512,514,561,629,634,658,679,658,697,702,713,750,775,851,887,873,909,920,946,1007,1008,1027,999,1053,1054,1068,1094,1111,-
"모로코",-,-,-,-,-,-,-,-,-,-,-,188,198,214,226,229,241,258,267,278,275,269,272,276,278,277,279,281,289,309,310,320,334,341,360,351,363,369,371,389,386,404,405,399,467,488,490,498,511,508,526,559,560,554,554,-
"모잠비크",-,-,-,-,-,-,-,-,-,-,-,800,764,745,717,688,657,646,606,588,589,563,551,533,515,502,488,481,476,466,445,435,432,428,412,403,398,399,393,392,404,414,409,420,425,420,422,428,425,430,432,436,431,433,447,-
"나미비아",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,491,506,527,550,585,611,609,620,603,561,651,593,609,631,675,668,679,714,717,733,745,759,788,805,-
"니제르",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,126,126,126,127,128,125,124,125,126,129,134,112,127,154,149,-
"나이지리아",-,-,-,-,-,-,-,-,-,-,-,584,590,602,605,614,628,642,652,659,670,679,693,695,679,683,672,677,680,685,698,713,722,715,680,681,692,698,685,692,700,716,719,740,741,750,736,741,743,711,745,766,785,767,751,-
"상투메프린시페",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,195,-,-,-,-,-,-,-,-,-,-,-,-,-,241,266,266,259,-,-,-,-,-,-,-,-
"세네갈",-,-,-,-,-,-,-,-,-,-,-,276,272,276,276,275,274,274,268,274,274,265,256,249,255,239,243,252,233,225,224,216,223,216,209,216,216,224,231,238,247,261,259,245,256,254,248,260,264,308,306,315,304,273,283,-
"세이셸",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,541,-,-,-,-,-,-,-,-,-,-,-,-,-,3104,2752,2872,2411,-,-,-,-,-,-,-,-
"남아프리카공화국",-,-,-,-,-,-,-,-,-,-,-,1972,1949,2017,2034,2094,2109,2095,2155,2167,2219,2379,2521,2499,2637,2560,2580,2581,2594,2403,2281,2322,2121,2232,2269,2354,2369,2400,2355,2357,2329,2375,2309,2446,2646,2616,2573,2727,2904,2813,2738,2694,2621,2594,2686,-
"남수단",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,61,62,-
"수단",-,-,-,-,-,-,-,-,-,-,-,602,593,591,575,553,531,525,511,494,502,485,487,486,474,485,483,467,491,485,504,495,487,465,526,514,514,513,507,549,506,517,549,522,510,507,530,499,493,496,495,484,407,406,405,-
"탄자니아",-,-,-,-,-,-,-,-,-,-,-,538,524,509,489,472,460,444,434,423,415,409,402,398,393,388,385,380,375,373,371,369,365,363,355,361,358,354,368,381,391,401,411,416,429,437,440,443,446,447,458,471,485,488,489,-
"토고",-,-,-,-,-,-,-,-,-,-,-,321,320,312,304,310,303,314,316,320,313,310,316,298,299,296,313,321,318,319,326,324,319,323,364,366,395,377,391,435,421,409,413,425,418,415,403,406,412,487,474,464,451,451,453,-
"튀니지",-,-,-,-,-,-,-,-,-,-,-,319,340,345,374,377,391,413,442,468,497,500,480,532,549,557,535,530,543,528,586,568,619,591,627,625,643,655,705,720,738,771,774,787,822,800,835,854,883,849,944,890,917,921,920,-
"잠비아",-,-,-,-,-,-,-,-,-,-,-,821,850,873,884,812,876,837,819,800,808,796,789,777,763,754,744,737,754,733,709,711,704,688,676,671,649,660,649,634,632,633,635,636,634,633,625,604,603,596,596,609,618,632,-,-
"짐바브웨",-,-,-,-,-,-,-,-,-,-,-,1014,1001,1027,1007,970,993,940,920,922,921,877,850,839,824,852,872,922,905,899,919,950,956,902,890,895,877,854,860,904,846,838,818,777,753,787,798,775,714,721,737,787,815,833,-,-
"오세아니아",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"오스트레일리아",3064,3116,3173,3284,3349,3463,3547,3693,3764,3793,4063,3990,4035,4264,4294,4346,4406,4671,4630,4684,4737,4696,4816,4548,4641,4594,4624,4772,4703,5001,5062,4928,4964,5157,5104,5148,5419,5497,5585,5644,5681,5486,5614,5618,5653,5624,5778,5868,5965,5863,5793,5745,5575,5468,5335,5484
"피지",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,366,-,-,-,-,-,-,-,-,-,-,-,-,-,768,661,633,588,-,-,-,-,-,-,-,-
"키리바시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95,-,-,-,-,-,-,-,-,-,-,-,-,-,83,81,100,108,-,-,-,-,-,-,-,-
"마셜제도",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,533,534,553,592,-,-,-,-,-,-,-,-
"뉴질랜드",1686,1763,1791,1924,2176,2241,2286,2189,2319,2374,2458,2393,2617,2662,2883,2772,2929,3055,3032,2834,2886,2850,3013,3077,3251,3448,3464,3453,3610,3847,3854,3764,3808,3968,4055,4054,4131,4259,4163,4308,4430,4408,4337,4198,4240,4095,4047,4054,4083,4073,4225,4177,4358,4360,4553,4432
"팔라우",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4804,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"사모아",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,257,-,-,-,-,-,-,-,-,-,-,-,-,-,298,302,301,304,-,-,-,-,-,-,-,-
"솔로몬제도",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,164,-,-,-,-,-,-,-,-,-,-,-,-,-,123,120,120,127,-,-,-,-,-,-,-,-
"통가",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,257,-,-,-,-,-,-,-,-,-,-,-,-,-,543,540,537,544,-,-,-,-,-,-,-,-
"바누아투",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,155,-,-,-,-,-,-,-,-,-,-,-,-,-,141,138,139,153,-,-,-,-,-,-,-,-
