"국가",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"세계",30629971,30804063,30704763,30852305,31131196,31923717,32523975,32918471,33134921,33329417,34208319,34593446,35018764,36315562,37789694,39003678,40128915,41442032,41744913,41308022,43442887,44714896,45230398,45922200,46235969,46135596,46288080,47035210,48069813,48089617,46120921
"아시아",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"아프가니스탄",11631,11900,11548,11679,11733,12181,13231,14217,15064,15981,14205,12605,15255,15961,15572,16636,17264,18219,21349,24314,28586,32446,30929,30430,31166,31619,30865,31751,32580,32737,31119
"아르메니아",24389,24992,14682,8520,5998,6568,5480,6176,6141,5608,5991,6102,5773,6202,6592,7317,7717,8366,8886,7744,7562,8203,9200,9142,9133,9156,9415,9251,9444,9875,10422
"아제르바이잔",75481,73081,82406,61846,42455,41572,36089,35646,36163,36436,38179,37597,37660,40372,40448,43538,45922,45086,49561,45423,44321,46785,49834,51038,52263,52142,52488,51758,53176,56537,55352
"바레인",15951,15591,17789,18783,19236,19948,21197,22198,23956,24541,25624,26452,27656,28718,28964,32239,34714,35915,38405,38946,40906,41607,43195,46014,48107,48874,49459,50342,51258,54195,54151
"방글라데시",91841,92041,94105,95469,98032,103119,103596,105881,105905,110080,111593,117271,120950,122887,124837,129652,135193,138289,146771,150701,158532,164268,169101,174185,179287,187771,195047,205029,214432,212143,206570
"부탄",862,864,851,823,852,950,983,1065,1057,1085,1058,995,1033,999,942,1105,1089,1104,1050,1067,1163,1413,1496,1578,1650,1661,1857,1946,2074,2052,1631
"브루나이",4729,4939,5242,5673,5969,6347,6545,6968,6208,6296,6700,6639,6678,7704,7306,7152,9893,9390,10245,10020,9331,9572,9532,9316,9191,8467,9102,9559,9853,9392,11914
"캄보디아",16130,15826,16358,17174,15942,18637,18929,19134,19219,20480,19380,19390,19829,21317,21182,22593,24166,25321,25951,27280,27846,29108,28708,28695,29453,31144,33921,36541,37519,41948,42363
"중국",3238859,3386236,3515193,3744912,3904475,4307874,4328947,4324410,4442509,4375023,4567274,4759814,5053061,5724514,6489938,7263559,7942464,8551053,8805331,9380447,10211637,11089792,11374796,11861844,11940737,11804697,11773341,12014199,12524335,12732245,12942868
"키프로스",5440,5967,6394,6666,6922,6807,7198,7280,7610,7888,8155,8072,8299,8972,8915,9025,9163,9494,9709,9538,9209,8961,8444,7740,8137,8214,8598,8738,8560,8542,8109
"조지아",49720,40275,32649,27124,19963,16902,15384,14567,14083,13830,14245,11789,11230,11755,11831,12381,12741,13508,12613,13370,13087,14276,15144,16151,16805,17142,17541,17482,17135,17843,17669
"인도",1237963,1292415,1317324,1350479,1395751,1462174,1514074,1574519,1604187,1680581,1719665,1742348,1762141,1803992,1892155,1966216,2064473,2209296,2310911,2457278,2569052,2681723,2832703,2900895,3083574,3104050,3147643,3269578,3436072,3412419,3200821
"인도네시아",468363,489484,510547,526825,548354,583642,605936,631411,639261,659941,666121,681090,682866,705535,713132,711330,738257,749377,742749,762564,788132,858226,863278,829244,873789,874599,870044,914633,980510,1020914,976488
"이란",320859,348260,370067,377188,408446,418033,433196,450842,452422,487704,515092,528521,542458,578105,613251,652634,693677,725948,732455,753556,756069,765898,765330,786883,812674,812279,849362,878975,891701,856658,844649
"이라크",103704,59534,84189,110973,126411,124492,122851,152201,136148,122760,139559,149503,138563,118346,134619,130607,130227,125424,141436,151525,167515,177435,201901,214615,213141,220379,239849,255110,268364,285962,261290
"이스라엘",44104,45176,47974,52045,55389,59237,62352,65388,66742,68956,73844,73683,75658,76471,77563,76206,80476,83625,84298,83771,89229,89015,95547,87043,85195,87306,87087,88636,85003,87191,83664
"일본",1181859,1197302,1210392,1203796,1261542,1276849,1291667,1279691,1233321,1263286,1278174,1255890,1286296,1293014,1282942,1289536,1269045,1304489,1234744,1177229,1234821,1292827,1336335,1352164,1305365,1268752,1258297,1241561,1198175,1157545,1094556
"요르단",18609,19064,21809,22533,23617,23248,22483,21995,21201,20266,20836,20940,21730,22305,23768,25323,26124,27459,26811,27636,27362,28262,32046,32285,34458,34861,35008,36767,35967,34899,33146
"카자흐스탄",298755,307282,309835,273389,251578,223074,198138,175508,176224,162374,162134,162080,190192,201454,219781,234299,254147,266717,314334,286740,307086,322212,320318,335322,286216,267017,276331,299615,299701,286968,294806
"북한",154777,147116,132623,123098,111869,102843,90945,86610,79954,84187,87411,90359,87883,89586,91724,95343,97621,84767,92866,76160,73581,59413,60849,50081,53734,47460,50976,77904,74193,79306,76080
"대한민국",280644,308848,334281,365954,394188,427134,455230,481133,415883,453767,502291,513663,519073,527072,552731,548063,556373,566266,579146,593082,645047,669063,672465,672870,662402,683376,693723,707446,714467,699176,659330
"쿠웨이트",39339,10568,32432,46789,54469,54234,54229,56822,61588,64338,70129,73203,74993,80241,85466,94641,98323,96387,103275,103449,107628,113299,117824,122083,121303,125805,131401,130518,134810,137497,135897
"키르기스스탄",32426,30144,22546,17747,12604,9915,10814,10680,10919,9539,9464,8878,9847,10480,10632,10323,10443,11654,12742,12389,12096,13530,16148,15637,16274,16613,16168,15986,18120,16932,16094
"라오스",6799,6717,7020,7041,7407,7454,7501,7750,7314,7191,7964,8303,8600,8833,9281,9227,9617,10173,10605,11440,12378,12120,13097,14053,14396,19257,26547,29814,30205,29983,30491
"레바논",7273,8776,8839,12246,13187,15484,16526,18744,19102,20082,18914,20240,20217,20910,21470,20888,19950,18885,22678,26142,25240,25929,28570,28549,30738,32883,33993,35780,34290,34132,28947
"말레이시아",79483,90478,93209,99807,107698,115161,128609,138023,138400,147177,158088,163922,172669,182491,198774,209390,216879,234709,249865,227749,248443,251672,256174,275413,290460,291460,287586,281064,297794,302135,302089
"몰디브",203,209,277,257,262,322,348,411,390,515,553,576,713,631,800,737,912,944,1013,1070,1127,1201,1359,1368,1619,1628,1806,1936,2217,2491,1995
"몽골",30684,32926,30695,29493,27684,28609,27874,28690,29084,29766,30535,28014,26171,25981,25773,28533,31435,34164,34395,35419,32730,36384,39774,42281,44820,46229,48597,51465,53370,56965,53921
"미얀마",54226,53635,56373,59046,61686,64814,64875,63702,65352,70071,72065,71631,72161,76267,78884,82117,85213,87772,86052,86928,89150,88428,92135,95306,100795,104223,108641,124413,126490,129006,128949
"네팔",21188,21439,21155,21964,22687,23799,24223,24727,25181,26169,26541,26929,26439,26965,27182,27869,27682,27911,29004,30632,31722,32970,34021,34651,36095,36046,39892,43035,45363,44490,45869
"오만",20178,24327,24155,25551,27463,30852,31769,33034,32244,35163,39435,43184,44839,46644,45910,45950,54221,57096,56718,59686,64024,71404,79577,83498,87083,91493,94832,94110,99261,99952,95082
"파키스탄",160495,163980,173601,183167,189780,200605,207743,214405,218194,231242,233585,237055,243434,252860,270310,279295,298657,315898,317306,329562,323172,332269,336413,347984,361322,375637,400204,426734,422020,427523,436609
"필리핀",95359,95196,97252,102700,109828,121649,130171,138277,131574,137319,138557,137747,139473,142602,146082,147127,140739,146901,150006,152895,158250,160090,165180,176101,183727,192591,204106,221322,227858,235302,224972
"카타르",16237,19317,19128,21937,24462,25222,27853,34921,36397,39506,40411,40080,44068,47924,51850,53557,60228,68219,73843,75999,86698,97690,106659,108730,113517,116593,119022,119438,119194,121514,119605
"사우디아라비아",239708,272534,290129,287759,287331,286197,301645,307796,323977,328281,344718,348566,366456,387518,404868,425134,447640,467558,507309,519925,564853,596452,632987,649105,692677,726206,734310,728092,715865,720674,712585
"싱가포르",30891,34038,36668,43127,46649,47958,49352,49446,48785,50003,54857,54784,54037,50888,52349,49627,50054,51333,51630,52196,55950,58993,58592,59489,60658,62380,62653,65736,64328,65006,64267
"스리랑카",23709,23554,25320,25637,26414,26532,26424,24466,21961,21364,20641,20392,21249,22420,22553,24498,22944,23888,24157,23308,24597,27164,29048,26162,28831,31300,34745,33847,33285,35478,35117
"시리아",71151,80740,85809,89440,92734,96474,98330,97982,101107,100554,100230,100080,102020,101426,94106,104048,106071,108865,109433,104961,104401,99245,74802,52237,46287,44504,43527,45709,47033,47606,47112
"타지키스탄",17819,16934,13948,11084,8577,7963,7315,7551,7474,6985,6617,6635,6671,6824,7372,7440,7930,8645,9022,8700,8792,9064,9858,10280,11820,12419,13232,14623,16021,17416,17692
"태국",157977,169423,181968,199797,214952,233472,255104,264810,243177,256309,257421,269362,281494,291807,309996,320716,325301,339245,343122,338798,361218,361291,383663,394293,388973,393387,406605,414733,418544,432151,433773
"동티모르",447,519,519,549,629,649,674,672,701,587,657,1716,2762,3628,4398,5373,5729,6031,6410,6731,7041,6929,6911,6795,6771,6709,6535,6369,6086,6065,5537
"튀르키예",205436,207888,215375,221666,216829,231330,249039,258031,259246,259126,283076,261179,271455,282947,288964,301420,330635,360255,357395,360936,371145,393957,409510,400373,425731,433861,460806,503114,503525,491455,504956
"투르크메니스탄",153459,145044,100252,110388,89363,90227,87258,71819,73663,92432,117808,119978,128299,144490,152502,157217,157435,170854,178297,135753,151459,182458,190716,199582,197349,203460,198238,196842,199522,216206,194092
"아랍에미리트",78602,87045,85015,89207,97919,102899,107323,110645,112803,114109,114701,128615,130407,138690,146808,156120,163492,174309,200150,199978,207639,215072,226416,238373,240980,253028,260391,251238,234349,248671,249928
"우즈베키스탄",168028,169858,158407,161096,158786,148821,150117,154394,171375,171680,178538,181020,187309,179662,183510,176522,187442,182544,191730,178756,189868,192742,177314,175954,168051,163078,172068,177384,184840,190209,187520
"베트남",73264,77098,79688,84985,89875,97399,105395,113204,123192,128165,135696,140237,152726,160510,179676,188783,193546,206510,217120,239357,257248,261809,263337,276065,291458,313934,333618,342192,399801,454890,470578
"예멘",16875,18614,19205,20346,24633,25774,26418,28112,29335,31958,34697,35964,36037,39649,40195,42518,43963,44928,44827,47659,48104,44130,40548,48946,47636,27895,22625,23058,25020,25927,24391
"북아메리카",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"캐나다",543049,538981,553365,549385,567482,582561,600567,614964,623219,628407,648194,640277,661256,682672,679690,693710,682556,716336,691865,656854,673673,690329,690454,702661,710550,708800,709180,725613,742233,726904,677709
"멕시코",409785,429088,432074,449488,476197,455462,475266,498989,523900,512595,539609,540751,550227,574857,585564,607694,628006,639934,643156,632549,650218,671736,678449,663760,659021,674268,682791,679728,651037,659740,592321
"미국",5855541,5810377,5894661,6006009,6100513,6168767,6338952,6600798,6646954,6647799,6810656,6759406,6605763,6670156,6752991,6772891,6683781,6787855,6601050,6184149,6454245,6254958,6036577,6177417,6224269,6112057,6003241,5947835,6154646,6039739,5505181
"남아메리카",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"앤티가바부다",358,371,376,388,400,418,455,486,522,554,585,615,648,694,721,749,809,867,913,976,1005,1007,1032,1046,1061,1086,1124,1150,1185,1211,1204
"아르헨티나",249189,253692,258598,259461,263190,266004,275750,280720,286322,292408,294271,288041,284403,306434,322315,325979,340579,352851,357380,336631,342497,352870,357873,366979,365636,372415,375694,379420,378187,374524,361433
"바하마",2184,2256,2127,2001,2027,2109,2088,1890,2289,2335,2319,2245,2286,2334,2345,2197,2153,2188,2259,2282,2255,2482,2685,3112,2816,2513,2358,2503,3123,2958,2801
"바베이도스",3129,3163,3127,3112,3204,3235,3284,3381,3461,3543,3533,3559,3539,3584,3630,3666,3695,3723,3991,3979,3874,3926,3897,3885,3740,3743,3783,3693,3796,3711,3656
"벨리즈",6522,6737,6826,6953,7072,5975,4834,3867,2798,1723,703,786,840,930,762,820,899,1001,1009,1173,1214,1305,1172,1261,1249,1449,1441,1442,1428,1602,1573
"볼리비아",30872,31994,32804,31546,30712,29285,28891,30899,30922,31381,31098,30738,33594,34000,36843,38934,39482,41092,42296,43240,48348,48362,50100,52024,52832,54382,56749,56810,56831,58310,55203
"브라질",592497,613617,623607,634998,651869,678651,682100,711142,735531,752889,772340,797202,826209,841525,886636,897371,897366,921598,937153,913688,999925,1019415,1058598,1089193,1127554,1105478,1069581,1085923,1054182,1069919,1064709
"칠레",45416,44281,45875,48556,52620,56314,62857,69923,71022,73894,70030,67899,68527,69253,74640,75237,76545,84293,89032,86662,91818,98241,100677,103898,96490,102211,106622,107321,107365,113466,106722
"콜롬비아",124704,126105,129259,134226,136698,140856,141028,146755,148794,137507,141246,143400,141503,143003,144244,145702,146405,151267,153090,156750,162039,166015,164091,172345,175836,175034,178894,174466,182788,186445,186999
"코스타리카",8493,8785,9928,10014,10425,10018,10004,10041,10740,10562,10415,10725,10758,11114,11139,11680,12014,13379,13564,13120,13252,13939,13894,14391,14438,14296,15104,15441,15750,15719,14405
"쿠바",54701,45530,39336,35879,37308,38438,41109,43353,42829,43231,43544,42650,41410,40551,39931,40000,40987,41947,41280,42075,43298,43186,44295,44643,42540,44507,42569,41248,41721,39354,38559
"도미니카연방",189,190,188,192,197,197,174,186,179,179,193,206,167,184,204,212,218,230,229,227,237,217,232,238,245,248,248,232,232,242,231
"도미니카공화국",15760,16874,18348,18844,20822,21327,22233,23888,25843,26441,27148,27953,30391,28053,27343,28593,30586,31781,31937,31418,32785,33167,33969,33737,34092,36494,37761,37021,39252,39753,37053
"에콰도르",37539,38265,40794,42458,45716,48186,52296,54192,52480,49641,49012,54245,53840,55059,59346,61062,63578,63145,64894,68299,71886,72122,71956,75081,76785,75115,74098,72730,73972,74113,68056
"엘살바도르",6857,7644,8019,8495,9108,9377,9324,10188,10300,10509,10117,10760,10999,11572,11925,12313,12797,13370,12813,12438,12188,12098,12255,11478,11777,12219,12171,11280,11642,12495,11064
"그레나다",1843,1862,1878,1894,1916,1938,1976,2001,2030,2052,2059,2079,2094,2118,2122,2144,2163,2188,2209,2221,2242,2239,2268,2317,2264,2293,2308,2329,2372,2409,2397
"과테말라",11294,11659,12864,13508,13711,14743,14564,15105,16846,17354,18677,19366,20545,20792,21238,22583,22605,24087,22883,24253,24360,24955,25661,26771,27987,30900,32299,31730,33501,34769,33166
"가이아나",2291,2463,2454,2619,2922,3288,3333,3541,3470,3578,3246,3296,3185,3395,3399,3041,2860,3172,3324,3348,3575,3670,3928,4088,4301,4438,4471,4617,4768,5069,5282
"아이티",5332,5542,5947,5584,5073,5852,6150,6550,6700,6842,7322,7505,7797,7840,7718,7823,7877,8305,8329,8386,8939,9254,9015,9307,9726,10087,10332,10312,10195,10321,10267
"온두라스",11335,11449,11760,11564,12250,13015,12607,12631,12881,12185,12538,13417,13825,15578,16181,16194,17236,17963,18187,18032,18084,20100,20635,20637,21060,21850,22037,20955,21043,22121,21147
"자메이카",8991,8987,9795,9995,10040,10369,10705,10849,11387,11671,11776,11795,11970,12395,12303,12260,13470,13394,10990,9242,8846,8929,8402,8861,8670,8562,9061,8765,10166,10010,7433
"니카라과",9508,8144,9049,9712,10024,9405,9418,10164,10583,11706,12238,12440,12898,13901,13521,13829,14141,14332,14195,14263,14606,15755,16142,16345,17268,18256,18544,18401,18268,18598,18449
"파나마",7769,8261,8936,9192,9481,9684,9675,9615,10687,9836,9923,11305,10580,10769,10853,12522,13049,13061,13162,14746,15393,16487,17186,17165,17600,17487,17681,17283,17297,20589,17231
"파라과이",32393,29384,28673,28861,28819,30787,29960,30646,31098,31584,30409,32600,32023,34321,32482,33479,33958,35984,35516,37592,39953,41156,42494,43946,46010,46437,47414,49750,48376,49371,50784
"페루",44386,43272,43935,45018,47389,52298,56019,56965,57733,61955,62721,60784,62643,62453,66495,67706,67465,71287,76320,80433,84787,89039,89213,91156,94868,96580,99282,97010,97102,100395,89865
"세인트키츠네비스",188,190,192,197,210,214,222,231,244,254,269,278,287,289,307,294,302,319,319,328,330,338,323,322,323,334,342,342,346,350,334
"세인트루시아",906,930,969,1001,1038,965,902,817,770,701,619,636,628,657,680,679,704,717,726,731,800,799,812,816,824,826,835,866,868,881,851
"세인트빈센트그레나딘",156,162,164,185,200,210,214,220,250,252,235,267,276,287,307,309,308,327,311,371,317,308,323,307,348,327,336,307,334,317,302
"수리남",2817,3174,3277,3227,3264,3314,3356,3332,3331,3362,2668,2744,2182,2386,2563,2786,2721,2627,2808,2928,3286,3532,4001,3870,4268,4352,4648,4136,3780,4359,4312
"트리니다드토바고",20631,20529,20440,16168,12828,12446,13489,13922,14316,14816,15788,17525,19302,23302,24369,26566,30231,30891,30545,29719,32406,33335,32832,33787,33773,32833,29146,29353,29205,28916,26481
"우루과이",28636,30247,31855,32389,32272,32466,33789,33500,33090,34148,32274,31896,32209,33092,35000,35172,37305,36267,38840,38395,35997,37548,38416,37423,36921,36808,37086,36326,36239,36561,35994
"베네수엘라",291512,307022,309147,316608,321454,347941,375684,395030,394352,373292,389295,396080,379322,362799,387702,407819,406140,401317,417683,406253,409219,406627,441973,444427,439570,415759,387897,351794,310340,258589,194260
"유럽",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"알바니아",11181,8825,6778,6747,7561,7404,7120,6374,6621,7837,8164,8123,8759,9167,9246,9017,8921,8991,8733,8800,9243,9624,9071,9298,9739,9409,9192,9924,9671,9196,8304
"안도라",431,432,434,440,438,458,493,511,543,571,588,593,605,613,643,663,638,635,640,622,627,602,599,589,575,579,586,585,617,606,578
"오스트리아",76630,80906,75091,75015,75088,77572,81297,80328,80295,78470,78694,83002,84500,89432,90323,90357,88153,85204,84954,77767,83551,81739,78293,78909,75143,76430,76781,78699,75582,76623,71018
"벨라루스",142018,136780,122060,109295,96177,88165,88893,89304,87348,84949,82357,80878,80365,81461,85338,86180,89398,88183,92444,89589,94200,91275,92831,93419,92626,88193,87317,88972,91880,90320,87868
"벨기에",130785,135699,133746,131549,136906,137070,142423,139239,142002,138153,138266,138694,131374,134761,132641,129913,125999,121216,123935,117422,124908,113152,111929,112870,106750,111403,110335,108194,108952,108086,100063
"보스니아-헤르체고비나",30259,27538,20221,16764,6373,6284,7324,12228,14995,14993,18657,18366,18521,19027,20108,20874,22744,23860,25968,26043,26071,29184,27398,27192,24689,24907,27490,27759,27771,26218,26053
"불가리아",98303,81308,75491,74051,70101,71317,71885,68803,65218,58410,57838,60217,57531,62398,61151,61138,61092,65265,62887,55398,57044,62925,57187,52037,54624,57320,54456,56597,53370,51526,46493
"크로아티아",28570,22236,23228,24072,24153,25465,24633,26228,26587,26172,25206,26024,27073,28179,27904,27841,28571,30078,29260,26711,26152,25869,23888,22803,21998,22609,22671,23319,22214,22302,21379
"체코",184942,168144,163573,156202,149401,148177,152197,149188,142219,133707,145672,145448,139899,143170,143452,141940,142995,144802,139368,133423,134692,132059,128574,123330,120622,122514,124272,124328,123074,117767,108308
